old_name,new_name,old_quantity,new_quantity,old timestamp,new timestamp
Item,New Value,Timestamp
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,111,2023-04-16 18:35:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
70x48x50,4,4/11/2023 22:18
70x48x34,3,4/16/2023 18:02
70x48x25,0,4/16/2023 18:00
64x48x34,51,4/11/2023 22:54
64x48x25,43,4/16/2023 14:02
64x48x40,10,4/16/2023 17:29
64x48x50,7,4/16/2023 18:35
64x48x48,3,4/16/2023 17:37
64x48x39,2,4/16/2023 17:46
62x48x34,2,4/11/2023 22:18
57x48x50,8,4/11/2023 22:18
57x48x34,6,4/11/2023 22:18
57x48x25,5,4/11/2023 22:18
56x48x34,4,4/11/2023 22:18
56x48x25,1,4/11/2023 22:18
48x45x1,410,4/11/2023 22:18
48x40x5.25,212,4/11/2023 22:18
48x45x25,0,4/11/2023 22:18
48x45x34,0,4/11/2023 22:18
48x40x6,104,4/11/2023 22:18
48x40x1,81,4/11/2023 22:18
48x45x50,2,4/11/2023 22:18
48x36x42.5,12,4/11/2023 22:18
48x40x25,9,4/11/2023 22:18
48x45x42,8,4/11/2023 22:18
48x45x44,1,4/11/2023 22:18
48x40x44,0,4/11/2023 22:18
48x48x40,0,4/11/2023 22:18
45x45x6.75,9,4/11/2023 22:18
43x43x5,56,4/11/2023 22:18
40.5x34.5x26.5,43,4/11/2023 22:18
40.5x34.5x29,14,4/11/2023 22:18
32x30x25,8,4/11/2023 22:18
32x30x34,0,4/11/2023 22:18
32x30x1,48,4/11/2023 22:18
70x48x50,4,4/11/2023 22:18
70x48x34,3,4/16/2023 18:02
70x48x25,0,4/16/2023 18:00
64x48x34,51,4/11/2023 22:54
64x48x25,43,4/16/2023 14:02
64x48x40,10,4/16/2023 17:29
64x48x50,7,4/16/2023 18:35
64x48x48,3,4/16/2023 17:37
64x48x39,2,4/16/2023 17:46
62x48x34,2,4/11/2023 22:18
57x48x50,8,4/11/2023 22:18
57x48x34,6,4/11/2023 22:18
57x48x25,5,4/11/2023 22:18
56x48x34,4,4/11/2023 22:18
56x48x25,1,4/11/2023 22:18
48x45x1,410,4/11/2023 22:18
48x40x5.25,212,4/11/2023 22:18
48x45x25,0,4/11/2023 22:18
48x45x34,0,4/11/2023 22:18
48x40x6,104,4/11/2023 22:18
48x40x1,81,4/11/2023 22:18
48x45x50,2,4/11/2023 22:18
48x36x42.5,12,4/11/2023 22:18
48x40x25,9,4/11/2023 22:18
48x45x42,8,4/11/2023 22:18
48x45x44,1,4/11/2023 22:18
48x40x44,0,4/11/2023 22:18
48x48x40,0,4/11/2023 22:18
45x45x6.75,9,4/11/2023 22:18
43x43x5,56,4/11/2023 22:18
40.5x34.5x26.5,43,4/11/2023 22:18
40.5x34.5x29,14,4/11/2023 22:18
32x30x25,8,4/11/2023 22:18
32x30x34,0,4/11/2023 22:18
32x30x1,48,4/11/2023 22:18
70x48x50,4,4/11/2023 22:18
70x48x34,3,4/16/2023 18:02
70x48x25,0,4/16/2023 18:00
64x48x34,51,4/11/2023 22:54
64x48x25,43,4/16/2023 14:02
64x48x40,10,4/16/2023 17:29
64x48x50,7,4/16/2023 18:35
64x48x48,3,4/16/2023 17:37
64x48x39,2,4/16/2023 17:46
62x48x34,2,4/11/2023 22:18
57x48x50,8,4/11/2023 22:18
57x48x34,6,4/11/2023 22:18
57x48x25,5,4/11/2023 22:18
56x48x34,4,4/11/2023 22:18
56x48x25,1,4/11/2023 22:18
48x45x1,410,4/11/2023 22:18
48x40x5.25,212,4/11/2023 22:18
48x45x25,0,4/11/2023 22:18
48x45x34,0,4/11/2023 22:18
48x40x6,104,4/11/2023 22:18
48x40x1,81,4/11/2023 22:18
48x45x50,2,4/11/2023 22:18
48x36x42.5,12,4/11/2023 22:18
48x40x25,9,4/11/2023 22:18
48x45x42,8,4/11/2023 22:18
48x45x44,1,4/11/2023 22:18
48x40x44,0,4/11/2023 22:18
48x48x40,0,4/11/2023 22:18
45x45x6.75,9,4/11/2023 22:18
43x43x5,56,4/11/2023 22:18
40.5x34.5x26.5,43,4/11/2023 22:18
40.5x34.5x29,14,4/11/2023 22:18
32x30x25,8,4/11/2023 22:18
32x30x34,0,4/11/2023 22:18
32x30x1,48,4/11/2023 22:18
70x48x50,4,4/11/2023 22:18
70x48x34,3,4/16/2023 18:02
70x48x25,0,4/16/2023 18:00
64x48x34,51,4/11/2023 22:54
64x48x25,43,4/16/2023 14:02
64x48x40,10,4/16/2023 17:29
64x48x50,7,4/16/2023 18:35
64x48x48,3,4/16/2023 17:37
64x48x39,2,4/16/2023 17:46
62x48x34,2,4/11/2023 22:18
57x48x50,8,4/11/2023 22:18
57x48x34,6,4/11/2023 22:18
57x48x25,5,4/11/2023 22:18
56x48x34,4,4/11/2023 22:18
56x48x25,1,4/11/2023 22:18
48x45x1,410,4/11/2023 22:18
48x40x5.25,212,4/11/2023 22:18
48x45x25,0,4/11/2023 22:18
48x45x34,0,4/11/2023 22:18
48x40x6,104,4/11/2023 22:18
48x40x1,81,4/11/2023 22:18
48x45x50,2,4/11/2023 22:18
48x36x42.5,12,4/11/2023 22:18
48x40x25,9,4/11/2023 22:18
48x45x42,8,4/11/2023 22:18
48x45x44,1,4/11/2023 22:18
48x40x44,0,4/11/2023 22:18
48x48x40,0,4/11/2023 22:18
45x45x6.75,9,4/11/2023 22:18
43x43x5,56,4/11/2023 22:18
40.5x34.5x26.5,43,4/11/2023 22:18
40.5x34.5x29,14,4/11/2023 22:18
32x30x25,8,4/11/2023 22:18
32x30x34,0,4/11/2023 22:18
32x30x1,48,4/11/2023 22:18
70x48x50,4,4/11/2023 22:18
70x48x34,3,4/16/2023 18:02
70x48x25,0,4/16/2023 18:00
64x48x34,51,4/11/2023 22:54
64x48x25,43,4/16/2023 14:02
64x48x40,10,4/16/2023 17:29
64x48x50,7,4/16/2023 18:35
64x48x48,3,4/16/2023 17:37
64x48x39,2,4/16/2023 17:46
62x48x34,2,4/11/2023 22:18
57x48x50,8,4/11/2023 22:18
57x48x34,6,4/11/2023 22:18
57x48x25,5,4/11/2023 22:18
56x48x34,4,4/11/2023 22:18
56x48x25,1,4/11/2023 22:18
48x45x1,410,4/11/2023 22:18
48x40x5.25,212,4/11/2023 22:18
48x45x25,0,4/11/2023 22:18
48x45x34,0,4/11/2023 22:18
48x40x6,104,4/11/2023 22:18
48x40x1,81,4/11/2023 22:18
48x45x50,2,4/11/2023 22:18
48x36x42.5,12,4/11/2023 22:18
48x40x25,9,4/11/2023 22:18
48x45x42,8,4/11/2023 22:18
48x45x44,1,4/11/2023 22:18
48x40x44,0,4/11/2023 22:18
48x48x40,0,4/11/2023 22:18
45x45x6.75,9,4/11/2023 22:18
43x43x5,56,4/11/2023 22:18
40.5x34.5x26.5,43,4/11/2023 22:18
40.5x34.5x29,14,4/11/2023 22:18
32x30x25,8,4/11/2023 22:18
32x30x34,0,4/11/2023 22:18
32x30x1,48,4/11/2023 22:18
70x48x50,4,4/11/2023 22:18
70x48x34,3,4/16/2023 18:02
70x48x25,0,4/16/2023 18:00
64x48x34,51,4/11/2023 22:54
64x48x25,43,4/16/2023 14:02
64x48x40,10,4/16/2023 17:29
64x48x50,7,4/16/2023 18:35
64x48x48,3,4/16/2023 17:37
64x48x39,2,4/16/2023 17:46
62x48x34,2,4/11/2023 22:18
57x48x50,8,4/11/2023 22:18
57x48x34,6,4/11/2023 22:18
57x48x25,5,4/11/2023 22:18
56x48x34,4,4/11/2023 22:18
56x48x25,1,4/11/2023 22:18
48x45x1,410,4/11/2023 22:18
48x40x5.25,212,4/11/2023 22:18
48x45x25,0,4/11/2023 22:18
48x45x34,0,4/11/2023 22:18
48x40x6,104,4/11/2023 22:18
48x40x1,81,4/11/2023 22:18
48x45x50,2,4/11/2023 22:18
48x36x42.5,12,4/11/2023 22:18
48x40x25,9,4/11/2023 22:18
48x45x42,8,4/11/2023 22:18
48x45x44,1,4/11/2023 22:18
48x40x44,0,4/11/2023 22:18
48x48x40,0,4/11/2023 22:18
45x45x6.75,9,4/11/2023 22:18
43x43x5,56,4/11/2023 22:18
40.5x34.5x26.5,43,4/11/2023 22:18
40.5x34.5x29,14,4/11/2023 22:18
32x30x25,8,4/11/2023 22:18
32x30x34,0,4/11/2023 22:18
32x30x1,48,4/11/2023 22:18
70x48x50,4,4/11/2023 22:18
70x48x34,3,4/16/2023 18:02
70x48x25,0,4/16/2023 18:00
64x48x34,51,4/11/2023 22:54
64x48x25,43,4/16/2023 14:02
64x48x40,10,4/16/2023 17:29
64x48x50,7,4/16/2023 18:35
64x48x48,3,4/16/2023 17:37
64x48x39,2,4/16/2023 17:46
62x48x34,2,4/11/2023 22:18
57x48x50,8,4/11/2023 22:18
57x48x34,6,4/11/2023 22:18
57x48x25,5,4/11/2023 22:18
56x48x34,4,4/11/2023 22:18
56x48x25,1,4/11/2023 22:18
48x45x1,410,4/11/2023 22:18
48x40x5.25,212,4/11/2023 22:18
48x45x25,0,4/11/2023 22:18
48x45x34,0,4/11/2023 22:18
48x40x6,104,4/11/2023 22:18
48x40x1,81,4/11/2023 22:18
48x45x50,2,4/11/2023 22:18
48x36x42.5,12,4/11/2023 22:18
48x40x25,9,4/11/2023 22:18
48x45x42,8,4/11/2023 22:18
48x45x44,1,4/11/2023 22:18
48x40x44,0,4/11/2023 22:18
48x48x40,0,4/11/2023 22:18
45x45x6.75,9,4/11/2023 22:18
43x43x5,56,4/11/2023 22:18
40.5x34.5x26.5,43,4/11/2023 22:18
40.5x34.5x29,14,4/11/2023 22:18
32x30x25,8,4/11/2023 22:18
32x30x34,0,4/11/2023 22:18
32x30x1,48,4/11/2023 22:18
70x48x50,4,4/11/2023 22:18
70x48x34,3,4/16/2023 18:02
70x48x25,0,4/16/2023 18:00
64x48x34,51,4/11/2023 22:54
64x48x25,43,4/16/2023 14:02
64x48x40,10,4/16/2023 17:29
64x48x50,7,4/16/2023 18:35
64x48x48,3,4/16/2023 17:37
64x48x39,2,4/16/2023 17:46
62x48x34,2,4/11/2023 22:18
57x48x50,8,4/11/2023 22:18
57x48x34,6,4/11/2023 22:18
57x48x25,5,4/11/2023 22:18
56x48x34,4,4/11/2023 22:18
56x48x25,1,4/11/2023 22:18
48x45x1,410,4/11/2023 22:18
48x40x5.25,212,4/11/2023 22:18
48x45x25,0,4/11/2023 22:18
48x45x34,0,4/11/2023 22:18
48x40x6,104,4/11/2023 22:18
48x40x1,81,4/11/2023 22:18
48x45x50,2,4/11/2023 22:18
48x36x42.5,12,4/11/2023 22:18
48x40x25,9,4/11/2023 22:18
48x45x42,8,4/11/2023 22:18
48x45x44,1,4/11/2023 22:18
48x40x44,0,4/11/2023 22:18
48x48x40,0,4/11/2023 22:18
45x45x6.75,9,4/11/2023 22:18
43x43x5,56,4/11/2023 22:18
40.5x34.5x26.5,43,4/11/2023 22:18
40.5x34.5x29,14,4/11/2023 22:18
32x30x25,8,4/11/2023 22:18
32x30x34,0,4/11/2023 22:18
32x30x1,48,4/11/2023 22:18
70x48x50,4,4/11/2023 22:18
70x48x34,3,4/16/2023 18:02
70x48x25,0,4/16/2023 18:00
64x48x34,51,4/11/2023 22:54
64x48x25,43,4/16/2023 14:02
64x48x40,10,4/16/2023 17:29
64x48x50,7,4/16/2023 18:35
64x48x48,3,4/16/2023 17:37
64x48x39,2,4/16/2023 17:46
62x48x34,2,4/11/2023 22:18
57x48x50,8,4/11/2023 22:18
57x48x34,6,4/11/2023 22:18
57x48x25,5,4/11/2023 22:18
56x48x34,4,4/11/2023 22:18
56x48x25,1,4/11/2023 22:18
48x45x1,410,4/11/2023 22:18
48x40x5.25,212,4/11/2023 22:18
48x45x25,0,4/11/2023 22:18
48x45x34,0,4/11/2023 22:18
48x40x6,104,4/11/2023 22:18
48x40x1,81,4/11/2023 22:18
48x45x50,2,4/11/2023 22:18
48x36x42.5,12,4/11/2023 22:18
48x40x25,9,4/11/2023 22:18
48x45x42,8,4/11/2023 22:18
48x45x44,1,4/11/2023 22:18
48x40x44,0,4/11/2023 22:18
48x48x40,0,4/11/2023 22:18
45x45x6.75,9,4/11/2023 22:18
43x43x5,56,4/11/2023 22:18
40.5x34.5x26.5,43,4/11/2023 22:18
40.5x34.5x29,14,4/11/2023 22:18
32x30x25,8,4/11/2023 22:18
32x30x34,0,4/11/2023 22:18
32x30x1,48,4/11/2023 22:18
70x48x50,4,4/11/2023 22:18
70x48x34,3,2023-12-13 10:13:43
70x48x25,0,4/16/2023 18:00
64x48x34,51,4/11/2023 22:54
64x48x25,43,4/16/2023 14:02
64x48x40,10,4/16/2023 17:29
64x48x50,7,4/16/2023 18:35
64x48x48,3,4/16/2023 17:37
64x48x39,2,4/16/2023 17:46
62x48x34,2,4/11/2023 22:18
57x48x50,8,4/11/2023 22:18
57x48x34,6,4/11/2023 22:18
57x48x25,5,4/11/2023 22:18
56x48x34,4,4/11/2023 22:18
56x48x25,1,4/11/2023 22:18
48x45x1,410,4/11/2023 22:18
48x40x5.25,212,4/11/2023 22:18
48x45x25,0,4/11/2023 22:18
48x45x34,0,4/11/2023 22:18
48x40x6,104,4/11/2023 22:18
48x40x1,81,4/11/2023 22:18
48x45x50,2,4/11/2023 22:18
48x36x42.5,12,4/11/2023 22:18
48x40x25,9,4/11/2023 22:18
48x45x42,8,4/11/2023 22:18
48x45x44,1,4/11/2023 22:18
48x40x44,0,4/11/2023 22:18
48x48x40,0,4/11/2023 22:18
45x45x6.75,9,4/11/2023 22:18
43x43x5,56,4/11/2023 22:18
40.5x34.5x26.5,43,4/11/2023 22:18
40.5x34.5x29,14,4/11/2023 22:18
32x30x25,8,4/11/2023 22:18
32x30x34,0,4/11/2023 22:18
32x30x1,48,4/11/2023 22:18
70x48x50,4,4/11/2023 22:18,
70x48x34,3,4/16/2023 18:02,
70x48x25,0,4/16/2023 18:00,
64x48x34,51,4/11/2023 22:54,
64x48x25,44,2023-12-13 10:36:04,dd
70x48x50,4,4/11/2023 22:18,
70x48x34,3,4/16/2023 18:02,
70x48x25,0,4/16/2023 18:00,
64x48x34,51,4/11/2023 22:54,
64x48x25,45,2023-12-13 10:38:16,dd
70x48x50,4,4/11/2023 22:18,
70x48x34,3,4/16/2023 18:02,
70x48x25,23,2023-12-13 10:42:07, MS
64x48x34,51,4/11/2023 22:54,
64x48x25,45,2023-12-13 10:38:16,dd
70x48x50,4,4/11/2023 22:18,
70x48x34,3,4/16/2023 18:02,
70x48x25,23,2023-12-13 10:42:07, MS
64x48x34,51,4/11/2023 22:54,
64x48x25,45,2023-12-13 10:38:16,dd
70x48x50,4,4/11/2023 22:18,
70x48x34,3,4/16/2023 18:02,
70x48x25,23,2023-12-13 10:42:07, MS
64x48x34,51,4/11/2023 22:54,
64x48x25,45,2023-12-13 10:38:16,dd
ht,33,2023-12-13 10:48:16,fdfd
70x48x50,4,4/11/2023 22:18,
70x48x34,3,4/16/2023 18:02,
70x48x25,23,2023-12-13 10:42:07, MS
64x48x34,51,4/11/2023 22:54,
64x48x25,45,2023-12-13 10:38:16,dd
